index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRfq9MLrPL9tFkuFbGb98fMGDdl67v4I2iDLYCVprdsdGaXURCl9UNEr8v_65X1hKrYF5NjSvB01HOGexg-3CJxjkVSu9zPNJ2AunP09vPa0gjEILskTILx&usqp=CAE,https://agribegri.com/products/buy-propiconazole--25-ec-systematic-fungicide-online-.php
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZZH2SUe7Hufpd49iFoF_04c96J-fZeywsYQXDb0gFerGOYyL7xPBxLN05LIx6s36u6C_qMvtescsDbrTEzniJp0yhfEsvJoTCMD7FDnI&usqp=CAE,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT2JQ-fAdtrzzmkSespqEpKwop3BnWntsLioVSgjy79mpxQVPSqoD4v9yfL0mtiFJvFnPqeE7EcefadhdEpc9uUTCZbROwOPsklL_XDMSLTpxOGvIcBMMFiBQ&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://rukminim1.flixcart.com/image/416/416/kc6jyq80/soil-manure/6/y/v/500-tapti-booster-500-ml-green-yantra-original-imaftd6rrgfhvshc.jpeg?q=70,https://agribegri.com/products/tapti-booster-500-ml--organic-fertilizer-online-in-india.php
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSW_S8Mrnq0lLnXWCSPPlONkrPbkB8C3Gy9613OGD0ZaejmP5UNRf8LFnXUYJTM64BC1VYLYcYSbSSv-qVTV15RzDJZipvzsikme8oHSEtVX_ZKDiUQpnbHPQ&usqp=CAE,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeHlqcksdF25o8mv-fYxNOrfJkp4Ov2hgVf01w2aCed1WbyL604ubLtPAlB7rfNoHRtxbTljQvA7P3VRh8LM0XndFHWDqvC4kC4w-DLQiknnS3vRzAxTpP&usqp=CAE,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://plantic.in/products/organic-bloomdrop
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE,https://agribegri.com/products/buy-online-3-star-m45-mancozeb-75-wp.php
